code,province_code,name,type
8105,81,Kabupaten Kepulauan Tanimbar,KABUPATEN
8106,81,Kabupaten Seram Bagian Timur,KABUPATEN
8107,81,Kabupaten Seram Bagian Barat,KABUPATEN
8108,81,Kabupaten Kepulauan Aru,KABUPATEN
8109,81,Kabupaten Buru Selatan,KABUPATEN
8171,81,Kota Ambon,KOTA
8172,81,Kota Tual,KOTA
8201,82,Kabupaten Halmahera Barat,KABUPATEN
8202,82,Kabupaten Halmahera Tengah,KABUPATEN
8203,82,Kabupaten Kepulauan Sula,KABUPATEN
8204,82,Kabupaten Halmahera Selatan,KABUPATEN
8205,82,Kabupaten Halmahera Utara,KABUPATEN
8206,82,Kabupaten Halmahera Timur,KABUPATEN
8207,82,Kabupaten Pulau Morotai,KABUPATEN
8208,82,Kabupaten Pulau Taliabu,KABUPATEN
8271,82,Kota Ternate,KOTA
8272,82,Kota Tidore Kepulauan,KOTA
9101,91,Kabupaten Fak-Fak,KABUPATEN
9102,91,Kabupaten Kaimana,KABUPATEN
9103,91,Kabupaten Teluk Wondama,KABUPATEN
9104,91,Kabupaten Teluk Bintuni,KABUPATEN
9105,91,Kabupaten Manokwari,KABUPATEN
9106,91,Kabupaten Manokwari Selatan,KABUPATEN
9107,91,Kabupaten Pegunungan Arfak,KABUPATEN
9108,91,Kabupaten Tambrauw,KABUPATEN
9201,92,Kabupaten Sorong,KABUPATEN
9202,92,Kabupaten Sorong Selatan,KABUPATEN
9203,92,Kabupaten Raja Ampat,KABUPATEN
9204,92,Kabupaten Maybrat,KABUPATEN
9271,92,Kota Sorong,KOTA
9401,94,Kabupaten Jayapura,KABUPATEN
9402,94,Kabupaten Kepulauan Yapen,KABUPATEN
9403,94,Kabupaten Biak Numfor,KABUPATEN
9404,94,Kabupaten Supiori,KABUPATEN
9405,94,Kabupaten Mamberamo Raya,KABUPATEN
9406,94,Kabupaten Waropen,KABUPATEN
9407,94,Kabupaten Sarmi,KABUPATEN
9408,94,Kabupaten Keerom,KABUPATEN
9471,94,Kota Jayapura,KOTA
9501,95,Kabupaten Merauke,KABUPATEN
9502,95,Kabupaten Boven Digoel,KABUPATEN
9503,95,Kabupaten Mappi,KABUPATEN
9504,95,Kabupaten Asmat,KABUPATEN
9601,96,Kabupaten Nabire,KABUPATEN
9602,96,Kabupaten Paniai,KABUPATEN
9603,96,Kabupaten Puncak Jaya,KABUPATEN
9604,96,Kabupaten Mimika,KABUPATEN
9605,96,Kabupaten Dogiyai,KABUPATEN
9606,96,Kabupaten Intan Jaya,KABUPATEN
9607,96,Kabupaten Deiyai,KABUPATEN
9701,97,Kabupaten Jayawijaya,KABUPATEN
9702,97,Kabupaten Yahukimo,KABUPATEN
9703,97,Kabupaten Pegunungan Bintang,KABUPATEN
9704,97,Kabupaten Tolikara,KABUPATEN
9705,97,Kabupaten Nduga,KABUPATEN
9706,97,Kabupaten Lanny Jaya,KABUPATEN
9707,97,Kabupaten Mamberamo Tengah,KABUPATEN
9708,97,Kabupaten Yalimo,KABUPATEN
9709,97,Kabupaten Puncak,KABUPATEN
